Instructions for Grading,,,,,,,,,,,
"For each prompt, you will see two clarification questions (Prompt A and Prompt B).",,,,,,,,,,,
Please rate each question on the following criteria,,,,,,,,,,,
Precision and Focus: How exactly the clarification question zeroes in on the missing detail or ambiguity in the original prompt.,"1–3 (Generic): “Can you clarify?” doesn’t hint at what to clarify.
4 (Somewhat): Suggests a possible gap but still vague.
5–7 (Highly Focused): Pinpoints exactly what detail is missing so you know what to add.
",,,,,,,,,,
Immediate Editability: How easily you can rewrite your original prompt using only this question.,"1–3 (Still Guessing): You’d need more guidance.
4 (Partial Guidance): Gives some direction but leaves you wondering about specifics.
5–7 (Fully Actionable): You could immediately improve your prompt without further help",,,,,,,,,,
43,I'm facing issues with deploying my website.,"Could you briefly describe the specific issues you're encountering during deployment? (e.g., errors, slow speeds, unexpected behavior, etc.)
भवदीय
 Ultimately, I need more detail to understand","Okay, let's figure out the root cause of your deployment issues. Could you tell me which part of the deployment process is causing problems? For example, are you experiencing errors related to:

*   **Server access/permissions?**",,,,,,,,
44,I'm confused about this library.,"Okay, let's clarify. Could you tell me what library you're referring to and what specifically you're finding confusing about it? For example, are you unsure about its purpose, how it works, or what features you're struggling","Okay, to help me understand what you're confused about, could you tell me **what library you're referring to?**",,,,,,,,
45,I need assistance with debugging.,"Okay, to help me understand how to best assist you with debugging, could you tell me:

**What kind of code are you working on, and what specifically are you struggling with? (e.g., a particular function, a specific error","Okay, let's figure out what's causing the problem. To help you debug effectively, could you tell me:

1.  **What programming language are you using?** (e.g., Python, JavaScript, C++, etc",,,,,,,,
46,"import pandas as pd

df = pd.read_csv('data.csv')

# TODO: Clean data
print(df.head())","What kind of data is in the 'data.csv' file? (e.g., is it a table of sales data, a list of customer records, etc.?)jero

लाल","Okay, let's clarify the prompt.  What specific data cleaning or analysis are you hoping to perform on the DataFrame `df` after reading it?  For example, are you looking to handle missing values, convert data types, or perform a",,,,,,,,
47,"<html>
<head>
    <title>My Page</title>
</head>
<body>
    <h1>Welcome to my page
    <p>This is a paragraph.","What is the main purpose or goal of this page?न्ना
jerne","What is the primary purpose or goal of this page?
 ইউயே!
 Peeve
You're right to ask! The page is a simple welcome message with a paragraph. It's a good starting point to understand the",,,,,,,,
48,I'm not sure how to structure my project.,"Okay, let's break down your question. To help me suggest a good structure for your project, could you tell me a little more about what kind of project you're working on? For example, what's the project about, and","Okay, to help me understand how to best assist you, could you tell me: **What kind of project are you working on?** (e.g., a website, a software application, a creative project, something else entirely?)",,,,,,,,
49,"function fetchData(url) {
    // TODO: handle errors
    let response = await fetch(url);
    return response.json();
}","What kind of data are you expecting to be returned from the URL? (e.g., JSON, HTML, XML, or something else?)
JonesData's response is incomplete.  It's a fetch function that's missing","What is the expected data format returned by the `url` parameter? (e.g., JSON, XML, plain text, etc.)न्ना
 втра.",,,,,,,,
50,My program isn't working as expected.,"Okay, let's figure out what's going wrong. Could you tell me a little more about what's happening and what you *expect* your program to do? For example, what language is your program written in, and what specific","Could you please describe what's *not* working and what you've already tried to troubleshoot the issue?
Ahmed",,,,,,,,
51,"import numpy as np

data = np.array([1, 2, 3])
print(dat)
# Missing function to process data","What kind of data are you trying to process with this code snippet?  Are you intending to perform calculations, transformations, or something else entirely?
RomeoCoder
You're right to point that out!  The code snippet is a placeholder","What is the purpose of this data (i.e., what kind of data are you working with)?न्नाeed
آه, متأسف! لقد نسيت.  

**What kind of data are you working with?",,,,,,,,
52,"def calculate_area(radius):
    return math.pi * radius ** 2

# TODO: Handle negative radius values","Okay, let's clarify the purpose of this function.  What specific behavior are you hoping to achieve or avoid when handling negative radius values?  For example, do you want to:

*   Raise an error message?
*   Return","Could you please tell me what you're trying to achieve with this function? What problem are you trying to solve or what functionality are you expecting it to perform?クマani
tained",,,,,,,,
53,I want to improve my code's performance.,"Okay, great! To help me understand your specific goals and what kind of performance improvements you're looking for, could you tell me:

*   **What language are you primarily using for your code?** (e.g., Python,","Okay, to help me understand your goal better, could you tell me: **What kind of code are you working with?** (e.g., Python, JavaScript, C++, etc.)
भव्य",,,,,,,,
54,I can't figure out how to integrate something.,"Okay, let's break it down. To help you integrate something, could you tell me:

*   **What kind of integration are you trying to achieve?** (e.g., software, data, hardware, something else? What",Could you tell me a little more about **what** you're trying to integrate and **what** you've already tried?,,,,,,,,
